stop_id,day,time
128N,34 St - Penn Station,SAT,58776
128S,34 St - Penn Station,SAT,53904
128N,34 St - Penn Station,SAT,59496
128S,34 St - Penn Station,SAT,54624
128N,34 St - Penn Station,SAT,60216
128S,34 St - Penn Station,SAT,55344
128N,34 St - Penn Station,SAT,60936
128S,34 St - Penn Station,SAT,56064
128N,34 St - Penn Station,SAT,61656
128S,34 St - Penn Station,SAT,56784
128N,34 St - Penn Station,SAT,62376
128S,34 St - Penn Station,SAT,57504
128N,34 St - Penn Station,SAT,63096
128S,34 St - Penn Station,SAT,58224
128N,34 St - Penn Station,SAT,63816
128S,34 St - Penn Station,SAT,58944
128N,34 St - Penn Station,SAT,64536
128S,34 St - Penn Station,SAT,59664
128N,34 St - Penn Station,SAT,65256
128S,34 St - Penn Station,SAT,60384
128N,34 St - Penn Station,SAT,65976
128S,34 St - Penn Station,SAT,61104
128N,34 St - Penn Station,SAT,66696
128S,34 St - Penn Station,SAT,61824
128N,34 St - Penn Station,SAT,67416
128S,34 St - Penn Station,SAT,62544
128N,34 St - Penn Station,SAT,68136
128S,34 St - Penn Station,SAT,63264
128N,34 St - Penn Station,SAT,68856
128S,34 St - Penn Station,SAT,63984
128N,34 St - Penn Station,SAT,69576
128S,34 St - Penn Station,SAT,64704
128N,34 St - Penn Station,SAT,70296
128S,34 St - Penn Station,SAT,65424
128N,34 St - Penn Station,SAT,71052
128S,34 St - Penn Station,SAT,66114
128N,34 St - Penn Station,SAT,71772
128S,34 St - Penn Station,SAT,66834
128N,34 St - Penn Station,SAT,72492
128S,34 St - Penn Station,SAT,67554
128N,34 St - Penn Station,SAT,73212
128S,34 St - Penn Station,SAT,68274
128N,34 St - Penn Station,SAT,73932
128S,34 St - Penn Station,SAT,68994
128N,34 St - Penn Station,SAT,74652
128S,34 St - Penn Station,SAT,69714
128N,34 St - Penn Station,SAT,75372
128S,34 St - Penn Station,SAT,70434
128N,34 St - Penn Station,SAT,76092
128S,34 St - Penn Station,SAT,71154
128N,34 St - Penn Station,SAT,76812
128S,34 St - Penn Station,SAT,71874
128N,34 St - Penn Station,SAT,77532
128S,34 St - Penn Station,SAT,72594
128N,34 St - Penn Station,SAT,78252
128S,34 St - Penn Station,SAT,73314
128N,34 St - Penn Station,SAT,78972
128S,34 St - Penn Station,SAT,74034
128N,34 St - Penn Station,SAT,79692
128S,34 St - Penn Station,SAT,74754
128N,34 St - Penn Station,SAT,80412
128S,34 St - Penn Station,SAT,75474
128N,34 St - Penn Station,SAT,81132
128S,34 St - Penn Station,SAT,76194
128N,34 St - Penn Station,SAT,81852
128S,34 St - Penn Station,SAT,76914
128N,34 St - Penn Station,SAT,82572
128S,34 St - Penn Station,SAT,77634
128N,34 St - Penn Station,SAT,83292
128S,34 St - Penn Station,SAT,78354
128N,34 St - Penn Station,SAT,84012
128S,34 St - Penn Station,SAT,79074
128N,34 St - Penn Station,SAT,84732
128S,34 St - Penn Station,SAT,79794
128N,34 St - Penn Station,SAT,85452
128S,34 St - Penn Station,SAT,80514
128N,34 St - Penn Station,SAT,86202
128S,34 St - Penn Station,SAT,81234
128N,34 St - Penn Station,SAT,86922
128S,34 St - Penn Station,SAT,81954
128N,34 St - Penn Station,SAT,87642
128S,34 St - Penn Station,SAT,82674
128N,34 St - Penn Station,SAT,88422
128S,34 St - Penn Station,SAT,83394
128N,34 St - Penn Station,SAT,89622
128S,34 St - Penn Station,SAT,84114
128S,34 St - Penn Station,SAT,84834
128N,34 St - Penn Station,SAT,90822
128S,34 St - Penn Station,SAT,85674
128N,34 St - Penn Station,SAT,92022
128S,34 St - Penn Station,SAT,86544
128N,34 St - Penn Station,SAT,93222
128S,34 St - Penn Station,SAT,87504
128N,34 St - Penn Station,SAT,94422
128S,34 St - Penn Station,SAT,88458
128N,34 St - Penn Station,SAT,95622
128S,34 St - Penn Station,SUN,3258
128N,34 St - Penn Station,SUN,10422
128S,34 St - Penn Station,SUN,4458
128N,34 St - Penn Station,SUN,11622
128S,34 St - Penn Station,SUN,5658
128N,34 St - Penn Station,SUN,12822
128S,34 St - Penn Station,SUN,6858
128N,34 St - Penn Station,SUN,14022
128S,34 St - Penn Station,SUN,8058
128N,34 St - Penn Station,SUN,15222
128S,34 St - Penn Station,SUN,9258
128N,34 St - Penn Station,SUN,16422
128S,34 St - Penn Station,SUN,10458
128N,34 St - Penn Station,SUN,17622
128S,34 St - Penn Station,SUN,11658
128N,34 St - Penn Station,SUN,18822
128S,34 St - Penn Station,SUN,12858
128N,34 St - Penn Station,SUN,20022
128S,34 St - Penn Station,SUN,14058
128N,34 St - Penn Station,SUN,21222
128S,34 St - Penn Station,SUN,15258
128N,34 St - Penn Station,SUN,22302
128S,34 St - Penn Station,SUN,16458
128N,34 St - Penn Station,SUN,23202
128S,34 St - Penn Station,SUN,17658
128N,34 St - Penn Station,SUN,24102
128S,34 St - Penn Station,SUN,18858
128N,34 St - Penn Station,SUN,25002
128S,34 St - Penn Station,SUN,20058
128N,34 St - Penn Station,SUN,25902
128N,34 St - Penn Station,SUN,26802
128S,34 St - Penn Station,SUN,21258
128N,34 St - Penn Station,SUN,27702
128S,34 St - Penn Station,SUN,22308
128N,34 St - Penn Station,SUN,28362
128S,34 St - Penn Station,SUN,23208
128N,34 St - Penn Station,SUN,29262
128S,34 St - Penn Station,SUN,24138
128N,34 St - Penn Station,SUN,30162
128S,34 St - Penn Station,SUN,25038
128N,34 St - Penn Station,SUN,31062
128S,34 St - Penn Station,SUN,25734
128N,34 St - Penn Station,SUN,31962
128S,34 St - Penn Station,SUN,26634
128N,34 St - Penn Station,SUN,32862
128S,34 St - Penn Station,SUN,27534
128N,34 St - Penn Station,SUN,33582
128S,34 St - Penn Station,SUN,28434
128N,34 St - Penn Station,SUN,34302
128S,34 St - Penn Station,SUN,29334
128N,34 St - Penn Station,SUN,35016
128S,34 St - Penn Station,SUN,30114
128N,34 St - Penn Station,SUN,35736
128S,34 St - Penn Station,SUN,30834
128N,34 St - Penn Station,SUN,36456
128S,34 St - Penn Station,SUN,31554
128N,34 St - Penn Station,SUN,37176
128S,34 St - Penn Station,SUN,32304
128N,34 St - Penn Station,SUN,37896
128S,34 St - Penn Station,SUN,33024
128N,34 St - Penn Station,SUN,38616
128S,34 St - Penn Station,SUN,33744
128N,34 St - Penn Station,SUN,39336
128S,34 St - Penn Station,SUN,34464
128N,34 St - Penn Station,SUN,40056
128S,34 St - Penn Station,SUN,35184
128N,34 St - Penn Station,SUN,40776
128S,34 St - Penn Station,SUN,35904
128N,34 St - Penn Station,SUN,41496
128S,34 St - Penn Station,SUN,36624
128N,34 St - Penn Station,SUN,42216
128S,34 St - Penn Station,SUN,37344
128N,34 St - Penn Station,SUN,42936
128S,34 St - Penn Station,SUN,38064
128N,34 St - Penn Station,SUN,43656
128S,34 St - Penn Station,SUN,38784
128N,34 St - Penn Station,SUN,44376
128S,34 St - Penn Station,SUN,39504
128N,34 St - Penn Station,SUN,45096
128S,34 St - Penn Station,SUN,40224
128N,34 St - Penn Station,SUN,45816
128S,34 St - Penn Station,SUN,40944
128N,34 St - Penn Station,SUN,46536
128S,34 St - Penn Station,SUN,41664
128N,34 St - Penn Station,SUN,47256
128S,34 St - Penn Station,SUN,42384
128N,34 St - Penn Station,SUN,47976
128S,34 St - Penn Station,SUN,43104
128N,34 St - Penn Station,SUN,48696
128S,34 St - Penn Station,SUN,43824
128N,34 St - Penn Station,SUN,49416
128S,34 St - Penn Station,SUN,44544
128N,34 St - Penn Station,SUN,50136
128S,34 St - Penn Station,SUN,45264
128N,34 St - Penn Station,SUN,50856
128S,34 St - Penn Station,SUN,45984
128N,34 St - Penn Station,SUN,51576
128S,34 St - Penn Station,SUN,46704
128N,34 St - Penn Station,SUN,52296
128S,34 St - Penn Station,SUN,47424
128N,34 St - Penn Station,SUN,53016
128S,34 St - Penn Station,SUN,48144
128N,34 St - Penn Station,SUN,53736
128S,34 St - Penn Station,SUN,48864
128N,34 St - Penn Station,SUN,54456
128S,34 St - Penn Station,SUN,49584
128N,34 St - Penn Station,SUN,55176
128S,34 St - Penn Station,SUN,50304
128N,34 St - Penn Station,SUN,55896
128S,34 St - Penn Station,SUN,51024
128N,34 St - Penn Station,SUN,56616
128S,34 St - Penn Station,SUN,51744
128N,34 St - Penn Station,SUN,57336
128S,34 St - Penn Station,SUN,52464
128N,34 St - Penn Station,SUN,58056
128S,34 St - Penn Station,SUN,53184
128N,34 St - Penn Station,SUN,58776
128S,34 St - Penn Station,SUN,53904
128N,34 St - Penn Station,SUN,59496
128S,34 St - Penn Station,SUN,54624
128N,34 St - Penn Station,SUN,60216
128S,34 St - Penn Station,SUN,55344
128N,34 St - Penn Station,SUN,60936
128S,34 St - Penn Station,SUN,56064
128N,34 St - Penn Station,SUN,61656
128S,34 St - Penn Station,SUN,56784
128N,34 St - Penn Station,SUN,62376
128S,34 St - Penn Station,SUN,57504
128N,34 St - Penn Station,SUN,63096
128S,34 St - Penn Station,SUN,58224
128N,34 St - Penn Station,SUN,63816
128S,34 St - Penn Station,SUN,58944
128N,34 St - Penn Station,SUN,64536
128S,34 St - Penn Station,SUN,59664
128N,34 St - Penn Station,SUN,65256
128S,34 St - Penn Station,SUN,60384
128N,34 St - Penn Station,SUN,65976
128S,34 St - Penn Station,SUN,61104
128N,34 St - Penn Station,SUN,66696
128S,34 St - Penn Station,SUN,61824
128N,34 St - Penn Station,SUN,67416
128S,34 St - Penn Station,SUN,62544
128N,34 St - Penn Station,SUN,68136
128S,34 St - Penn Station,SUN,63264
128N,34 St - Penn Station,SUN,68856
128S,34 St - Penn Station,SUN,63984
128N,34 St - Penn Station,SUN,69576
128S,34 St - Penn Station,SUN,64704
128N,34 St - Penn Station,SUN,70296
128S,34 St - Penn Station,SUN,65394
128N,34 St - Penn Station,SUN,71016
128S,34 St - Penn Station,SUN,66114
128N,34 St - Penn Station,SUN,71736
128S,34 St - Penn Station,SUN,66834
128N,34 St - Penn Station,SUN,72462
128S,34 St - Penn Station,SUN,67554
128N,34 St - Penn Station,SUN,73182
128S,34 St - Penn Station,SUN,68274
128N,34 St - Penn Station,SUN,73902
128S,34 St - Penn Station,SUN,68994
128N,34 St - Penn Station,SUN,74622
128S,34 St - Penn Station,SUN,69714
128N,34 St - Penn Station,SUN,75342
128S,34 St - Penn Station,SUN,70434
128N,34 St - Penn Station,SUN,76062
128S,34 St - Penn Station,SUN,71154
128N,34 St - Penn Station,SUN,76782
128S,34 St - Penn Station,SUN,71874
128N,34 St - Penn Station,SUN,77502
128S,34 St - Penn Station,SUN,72594
128N,34 St - Penn Station,SUN,78222
128S,34 St - Penn Station,SUN,73314
128N,34 St - Penn Station,SUN,78942
128S,34 St - Penn Station,SUN,74034
128N,34 St - Penn Station,SUN,79662
128S,34 St - Penn Station,SUN,74754
128N,34 St - Penn Station,SUN,80382
128S,34 St - Penn Station,SUN,75474
128N,34 St - Penn Station,SUN,81102
128S,34 St - Penn Station,SUN,76194
128N,34 St - Penn Station,SUN,81822
128S,34 St - Penn Station,SUN,76914
128N,34 St - Penn Station,SUN,82542
128S,34 St - Penn Station,SUN,77634
128N,34 St - Penn Station,SUN,83292
128S,34 St - Penn Station,SUN,78354
128N,34 St - Penn Station,SUN,84012
128S,34 St - Penn Station,SUN,79074
128N,34 St - Penn Station,SUN,84732
128S,34 St - Penn Station,SUN,79794
128N,34 St - Penn Station,SUN,85482
128S,34 St - Penn Station,SUN,80514
128S,34 St - Penn Station,SUN,81234
128N,34 St - Penn Station,SUN,86412
128S,34 St - Penn Station,SUN,81954
128N,34 St - Penn Station,SUN,87582
128S,34 St - Penn Station,SUN,82674
128N,34 St - Penn Station,SUN,88422
128S,34 St - Penn Station,SUN,83484
128N,34 St - Penn Station,SUN,89622
128S,34 St - Penn Station,SUN,84474
128N,34 St - Penn Station,SUN,90822
128S,34 St - Penn Station,SUN,85464
128N,34 St - Penn Station,SUN,92022
128S,34 St - Penn Station,SUN,86424
128N,34 St - Penn Station,SUN,93222
128S,34 St - Penn Station,SUN,87474
128N,34 St - Penn Station,SUN,94422
128S,34 St - Penn Station,SUN,88458
128N,34 St - Penn Station,SUN,95622
128N,34 St - Penn Station,WKD,22872
128N,34 St - Penn Station,WKD,24072
128S,34 St - Penn Station,WKD,19344
128N,34 St - Penn Station,WKD,24972
128S,34 St - Penn Station,WKD,20244
128N,34 St - Penn Station,WKD,25782
128N,34 St - Penn Station,WKD,26412
128S,34 St - Penn Station,WKD,21084
128N,34 St - Penn Station,WKD,27012
128S,34 St - Penn Station,WKD,22044
128N,34 St - Penn Station,WKD,27582
128N,34 St - Penn Station,WKD,27942
128N,34 St - Penn Station,WKD,28092
128S,34 St - Penn Station,WKD,22704
128N,34 St - Penn Station,WKD,28542
128S,34 St - Penn Station,WKD,23454
128N,34 St - Penn Station,WKD,29082
128N,34 St - Penn Station,WKD,29526
128S,34 St - Penn Station,WKD,24054
128N,34 St - Penn Station,WKD,29976
128S,34 St - Penn Station,WKD,24534
128N,34 St - Penn Station,WKD,30414
128N,34 St - Penn Station,WKD,30834
128S,34 St - Penn Station,WKD,25194
128N,34 St - Penn Station,WKD,31224
128S,34 St - Penn Station,WKD,25674
128N,34 St - Penn Station,WKD,31584
128S,34 St - Penn Station,WKD,26106
128N,34 St - Penn Station,WKD,31944
128S,34 St - Penn Station,WKD,26466
128N,34 St - Penn Station,WKD,32304
128S,34 St - Penn Station,WKD,27006
128N,34 St - Penn Station,WKD,32724
128S,34 St - Penn Station,WKD,27366
128N,34 St - Penn Station,WKD,33204
128S,34 St - Penn Station,WKD,27798
128N,34 St - Penn Station,WKD,33504
128S,34 St - Penn Station,WKD,28248
128N,34 St - Penn Station,WKD,33954
128S,34 St - Penn Station,WKD,28788
128N,34 St - Penn Station,WKD,34434
128S,34 St - Penn Station,WKD,29118
128N,34 St - Penn Station,WKD,34914
128S,34 St - Penn Station,WKD,29508
128N,34 St - Penn Station,WKD,35304
128S,34 St - Penn Station,WKD,29808
128S,34 St - Penn Station,WKD,30198
128N,34 St - Penn Station,WKD,35814
128S,34 St - Penn Station,WKD,30504
128N,34 St - Penn Station,WKD,36294
128S,34 St - Penn Station,WKD,30804
128S,34 St - Penn Station,WKD,31056
128N,34 St - Penn Station,WKD,36714
128S,34 St - Penn Station,WKD,31326
128S,34 St - Penn Station,WKD,31626
128N,34 St - Penn Station,WKD,37254
128S,34 St - Penn Station,WKD,32064
128N,34 St - Penn Station,WKD,37716
128S,34 St - Penn Station,WKD,32424
128N,34 St - Penn Station,WKD,38196
128S,34 St - Penn Station,WKD,32778
128N,34 St - Penn Station,WKD,38676
128S,34 St - Penn Station,WKD,33108
128N,34 St - Penn Station,WKD,39156
128S,34 St - Penn Station,WKD,33468
128S,34 St - Penn Station,WKD,33798
128N,34 St - Penn Station,WKD,39636
128S,34 St - Penn Station,WKD,33978
128N,34 St - Penn Station,WKD,39936
128S,34 St - Penn Station,WKD,34368
128N,34 St - Penn Station,WKD,40236
128S,34 St - Penn Station,WKD,34818
128N,34 St - Penn Station,WKD,40716
128S,34 St - Penn Station,WKD,35136
128N,34 St - Penn Station,WKD,41256
128S,34 St - Penn Station,WKD,35616
128N,34 St - Penn Station,WKD,41736
128S,34 St - Penn Station,WKD,36096
128N,34 St - Penn Station,WKD,42216
128S,34 St - Penn Station,WKD,36414
128N,34 St - Penn Station,WKD,42696
128S,34 St - Penn Station,WKD,36834
128N,34 St - Penn Station,WKD,43176
128S,34 St - Penn Station,WKD,37314
128N,34 St - Penn Station,WKD,43656
128S,34 St - Penn Station,WKD,37794
128N,34 St - Penn Station,WKD,44136
128S,34 St - Penn Station,WKD,38274
128N,34 St - Penn Station,WKD,44616
128S,34 St - Penn Station,WKD,38754
128N,34 St - Penn Station,WKD,45096
128S,34 St - Penn Station,WKD,39234
128N,34 St - Penn Station,WKD,45576
128S,34 St - Penn Station,WKD,39684
128N,34 St - Penn Station,WKD,46056
128S,34 St - Penn Station,WKD,40164
128N,34 St - Penn Station,WKD,46536
128S,34 St - Penn Station,WKD,40644
128N,34 St - Penn Station,WKD,47016
128S,34 St - Penn Station,WKD,41124
128N,34 St - Penn Station,WKD,47496
128S,34 St - Penn Station,WKD,41604
128N,34 St - Penn Station,WKD,47976
128S,34 St - Penn Station,WKD,42084
128N,34 St - Penn Station,WKD,48456
128S,34 St - Penn Station,WKD,42564
128N,34 St - Penn Station,WKD,48936
128S,34 St - Penn Station,WKD,43044
128N,34 St - Penn Station,WKD,49416
128S,34 St - Penn Station,WKD,43524
128N,34 St - Penn Station,WKD,49896
128S,34 St - Penn Station,WKD,44004
128N,34 St - Penn Station,WKD,50376
128S,34 St - Penn Station,WKD,44484
128N,34 St - Penn Station,WKD,50856
128S,34 St - Penn Station,WKD,44964
128N,34 St - Penn Station,WKD,51336
128S,34 St - Penn Station,WKD,45444
128N,34 St - Penn Station,WKD,51816
128S,34 St - Penn Station,WKD,45924
128N,34 St - Penn Station,WKD,52296
128S,34 St - Penn Station,WKD,46404
128N,34 St - Penn Station,WKD,52776
128S,34 St - Penn Station,WKD,46884
128N,34 St - Penn Station,WKD,53256
128S,34 St - Penn Station,WKD,47364
128N,34 St - Penn Station,WKD,53736
128S,34 St - Penn Station,WKD,47844
128N,34 St - Penn Station,WKD,54216
128S,34 St - Penn Station,WKD,48324
128N,34 St - Penn Station,WKD,54696
128S,34 St - Penn Station,WKD,48804
128N,34 St - Penn Station,WKD,55176
128S,34 St - Penn Station,WKD,49284
128N,34 St - Penn Station,WKD,55656
128S,34 St - Penn Station,WKD,49764
128N,34 St - Penn Station,WKD,56136
128S,34 St - Penn Station,WKD,50244
128N,34 St - Penn Station,WKD,56616
128S,34 St - Penn Station,WKD,50724
128N,34 St - Penn Station,WKD,57036
128S,34 St - Penn Station,WKD,51204
128N,34 St - Penn Station,WKD,57516
128S,34 St - Penn Station,WKD,51684
128N,34 St - Penn Station,WKD,57996
128S,34 St - Penn Station,WKD,52164
128N,34 St - Penn Station,WKD,58356
128S,34 St - Penn Station,WKD,52644
128N,34 St - Penn Station,WKD,58776
128S,34 St - Penn Station,WKD,53124
128N,34 St - Penn Station,WKD,59196
128S,34 St - Penn Station,WKD,53604
128N,34 St - Penn Station,WKD,59736
128S,34 St - Penn Station,WKD,54084
128N,34 St - Penn Station,WKD,60096
128S,34 St - Penn Station,WKD,54564
128N,34 St - Penn Station,WKD,60576
128S,34 St - Penn Station,WKD,55134
128N,34 St - Penn Station,WKD,61014
128S,34 St - Penn Station,WKD,55614
128N,34 St - Penn Station,WKD,61422
128N,34 St - Penn Station,WKD,61722
128S,34 St - Penn Station,WKD,56094
128N,34 St - Penn Station,WKD,61962
128N,34 St - Penn Station,WKD,62532
128S,34 St - Penn Station,WKD,56574
128N,34 St - Penn Station,WKD,62892
128S,34 St - Penn Station,WKD,57054
128N,34 St - Penn Station,WKD,63192
128S,34 St - Penn Station,WKD,57534
128N,34 St - Penn Station,WKD,63492
128N,34 St - Penn Station,WKD,63792
128S,34 St - Penn Station,WKD,58014
128N,34 St - Penn Station,WKD,64152
128S,34 St - Penn Station,WKD,58494
128N,34 St - Penn Station,WKD,64512
128S,34 St - Penn Station,WKD,58944
128N,34 St - Penn Station,WKD,64884
128S,34 St - Penn Station,WKD,59484
128N,34 St - Penn Station,WKD,65244
128N,34 St - Penn Station,WKD,65604
128S,34 St - Penn Station,WKD,60054
128N,34 St - Penn Station,WKD,65964
128S,34 St - Penn Station,WKD,60516
128N,34 St - Penn Station,WKD,66324
128S,34 St - Penn Station,WKD,60876
128N,34 St - Penn Station,WKD,66684
128S,34 St - Penn Station,WKD,61326
128N,34 St - Penn Station,WKD,67044
128S,34 St - Penn Station,WKD,61776
128N,34 St - Penn Station,WKD,67404
128S,34 St - Penn Station,WKD,62166
128N,34 St - Penn Station,WKD,67824
128S,34 St - Penn Station,WKD,62586
128N,34 St - Penn Station,WKD,68244
128S,34 St - Penn Station,WKD,62976
128N,34 St - Penn Station,WKD,68706
128S,34 St - Penn Station,WKD,63396
128N,34 St - Penn Station,WKD,69126
128S,34 St - Penn Station,WKD,63876
128N,34 St - Penn Station,WKD,69546
128S,34 St - Penn Station,WKD,64356
128N,34 St - Penn Station,WKD,70086
128S,34 St - Penn Station,WKD,64866
128N,34 St - Penn Station,WKD,70566
128S,34 St - Penn Station,WKD,65346
128N,34 St - Penn Station,WKD,71046
128S,34 St - Penn Station,WKD,65826
128N,34 St - Penn Station,WKD,71526
128S,34 St - Penn Station,WKD,66306
128N,34 St - Penn Station,WKD,72006
128S,34 St - Penn Station,WKD,66786
128N,34 St - Penn Station,WKD,72486
128S,34 St - Penn Station,WKD,67326
128N,34 St - Penn Station,WKD,73086
128S,34 St - Penn Station,WKD,67836
128N,34 St - Penn Station,WKD,73686
128S,34 St - Penn Station,WKD,68376
128N,34 St - Penn Station,WKD,74286
128S,34 St - Penn Station,WKD,68964
128N,34 St - Penn Station,WKD,74886
128S,34 St - Penn Station,WKD,69564
128N,34 St - Penn Station,WKD,75486
128S,34 St - Penn Station,WKD,70164
128N,34 St - Penn Station,WKD,76092
128S,34 St - Penn Station,WKD,70704
128N,34 St - Penn Station,WKD,76662
128S,34 St - Penn Station,WKD,71304
128S,34 St - Penn Station,WKD,71904
128N,34 St - Penn Station,WKD,77382
128S,34 St - Penn Station,WKD,72534
128N,34 St - Penn Station,WKD,78132
128S,34 St - Penn Station,WKD,73134
128N,34 St - Penn Station,WKD,78822
128S,34 St - Penn Station,WKD,73674
128N,34 St - Penn Station,WKD,79542
128S,34 St - Penn Station,WKD,74154
128S,34 St - Penn Station,WKD,74514
128N,34 St - Penn Station,WKD,80262
128S,34 St - Penn Station,WKD,74994
128N,34 St - Penn Station,WKD,80952
128S,34 St - Penn Station,WKD,75594
128N,34 St - Penn Station,WKD,81672
128S,34 St - Penn Station,WKD,76194
128S,34 St - Penn Station,WKD,76914
128N,34 St - Penn Station,WKD,82392
128S,34 St - Penn Station,WKD,77634
128N,34 St - Penn Station,WKD,83112
128S,34 St - Penn Station,WKD,78354
128N,34 St - Penn Station,WKD,83832
128S,34 St - Penn Station,WKD,79074
128N,34 St - Penn Station,WKD,84552
128S,34 St - Penn Station,WKD,79794
128N,34 St - Penn Station,WKD,85272
128S,34 St - Penn Station,WKD,80514
128N,34 St - Penn Station,WKD,85992
128S,34 St - Penn Station,WKD,81264
128N,34 St - Penn Station,WKD,86712
128S,34 St - Penn Station,WKD,81984
128S,34 St - Penn Station,WKD,82704
128S,34 St - Penn Station,WKD,83424
128S,34 St - Penn Station,WKD,84144
128N,34 St - Penn Station,SAT,24402
128N,34 St - Penn Station,SAT,25332
128N,34 St - Penn Station,SAT,26052
128S,34 St - Penn Station,SAT,20424
128N,34 St - Penn Station,SAT,26772
128S,34 St - Penn Station,SAT,21624
128N,34 St - Penn Station,SAT,27492
128S,34 St - Penn Station,SAT,22554
128N,34 St - Penn Station,SAT,28182
128S,34 St - Penn Station,SAT,23274
128N,34 St - Penn Station,SAT,28896
128N,34 St - Penn Station,SAT,29616
128S,34 St - Penn Station,SAT,23994
128N,34 St - Penn Station,SAT,30336
128S,34 St - Penn Station,SAT,24714
128N,34 St - Penn Station,SAT,31056
128S,34 St - Penn Station,SAT,25464
128N,34 St - Penn Station,SAT,31776
128S,34 St - Penn Station,SAT,26184
128N,34 St - Penn Station,SAT,32496
128S,34 St - Penn Station,SAT,26904
128N,34 St - Penn Station,SAT,33216
128S,34 St - Penn Station,SAT,27624
128N,34 St - Penn Station,SAT,33936
128S,34 St - Penn Station,SAT,28344
128N,34 St - Penn Station,SAT,34656
128S,34 St - Penn Station,SAT,29064
128N,34 St - Penn Station,SAT,35376
128S,34 St - Penn Station,SAT,29784
128N,34 St - Penn Station,SAT,36096
128S,34 St - Penn Station,SAT,30504
128N,34 St - Penn Station,SAT,36816
128S,34 St - Penn Station,SAT,31224
128N,34 St - Penn Station,SAT,37536
128S,34 St - Penn Station,SAT,31944
128N,34 St - Penn Station,SAT,38256
128S,34 St - Penn Station,SAT,32664
128N,34 St - Penn Station,SAT,38976
128S,34 St - Penn Station,SAT,33384
128N,34 St - Penn Station,SAT,39696
128S,34 St - Penn Station,SAT,34104
128N,34 St - Penn Station,SAT,40416
128S,34 St - Penn Station,SAT,34824
128N,34 St - Penn Station,SAT,41136
128S,34 St - Penn Station,SAT,35544
128N,34 St - Penn Station,SAT,41856
128S,34 St - Penn Station,SAT,36264
128N,34 St - Penn Station,SAT,42576
128S,34 St - Penn Station,SAT,36984
128N,34 St - Penn Station,SAT,43296
128S,34 St - Penn Station,SAT,37704
128N,34 St - Penn Station,SAT,44016
128S,34 St - Penn Station,SAT,38424
128N,34 St - Penn Station,SAT,44736
128S,34 St - Penn Station,SAT,39144
128N,34 St - Penn Station,SAT,45456
128S,34 St - Penn Station,SAT,39864
128N,34 St - Penn Station,SAT,46176
128S,34 St - Penn Station,SAT,40584
128N,34 St - Penn Station,SAT,46896
128S,34 St - Penn Station,SAT,41304
128N,34 St - Penn Station,SAT,47616
128S,34 St - Penn Station,SAT,42024
128N,34 St - Penn Station,SAT,48336
128S,34 St - Penn Station,SAT,42744
128N,34 St - Penn Station,SAT,49056
128S,34 St - Penn Station,SAT,43464
128N,34 St - Penn Station,SAT,49776
128S,34 St - Penn Station,SAT,44184
128N,34 St - Penn Station,SAT,50496
128S,34 St - Penn Station,SAT,44904
128N,34 St - Penn Station,SAT,51216
128S,34 St - Penn Station,SAT,45624
128N,34 St - Penn Station,SAT,51936
128S,34 St - Penn Station,SAT,46344
128N,34 St - Penn Station,SAT,52656
128S,34 St - Penn Station,SAT,47064
128N,34 St - Penn Station,SAT,53376
128S,34 St - Penn Station,SAT,47784
128N,34 St - Penn Station,SAT,54096
128S,34 St - Penn Station,SAT,48504
128N,34 St - Penn Station,SAT,54816
128S,34 St - Penn Station,SAT,49224
128N,34 St - Penn Station,SAT,55536
128S,34 St - Penn Station,SAT,49944
128N,34 St - Penn Station,SAT,56256
128S,34 St - Penn Station,SAT,50664
128N,34 St - Penn Station,SAT,56976
128S,34 St - Penn Station,SAT,51384
128N,34 St - Penn Station,SAT,57696
128S,34 St - Penn Station,SAT,52104
128N,34 St - Penn Station,SAT,58416
128S,34 St - Penn Station,SAT,52824
128N,34 St - Penn Station,SAT,59136
128S,34 St - Penn Station,SAT,53544
128N,34 St - Penn Station,SAT,59856
128S,34 St - Penn Station,SAT,54264
128N,34 St - Penn Station,SAT,60576
128S,34 St - Penn Station,SAT,54984
128N,34 St - Penn Station,SAT,61296
128S,34 St - Penn Station,SAT,55704
128N,34 St - Penn Station,SAT,62016
128S,34 St - Penn Station,SAT,56424
128N,34 St - Penn Station,SAT,62736
128S,34 St - Penn Station,SAT,57144
128N,34 St - Penn Station,SAT,63456
128S,34 St - Penn Station,SAT,57864
128N,34 St - Penn Station,SAT,64176
128S,34 St - Penn Station,SAT,58584
128N,34 St - Penn Station,SAT,64896
128S,34 St - Penn Station,SAT,59304
128N,34 St - Penn Station,SAT,65616
128S,34 St - Penn Station,SAT,60024
128N,34 St - Penn Station,SAT,66336
128S,34 St - Penn Station,SAT,60744
128N,34 St - Penn Station,SAT,67056
128S,34 St - Penn Station,SAT,61464
128N,34 St - Penn Station,SAT,67776
128S,34 St - Penn Station,SAT,62184
128N,34 St - Penn Station,SAT,68496
128S,34 St - Penn Station,SAT,62904
128N,34 St - Penn Station,SAT,69216
128S,34 St - Penn Station,SAT,63624
128N,34 St - Penn Station,SAT,69936
128S,34 St - Penn Station,SAT,64344
128N,34 St - Penn Station,SAT,70686
128S,34 St - Penn Station,SAT,65064
128N,34 St - Penn Station,SAT,71412
128S,34 St - Penn Station,SAT,65784
128N,34 St - Penn Station,SAT,72132
128S,34 St - Penn Station,SAT,66474
